date,location,time,total,살인,강도,강간강제추행,절도,폭력,유동인구수,거주인구,cctv수,경찰서수,기온,강수량,풍속,습도,일조량,적설량,적운량,일사량
2019,종로구,0-3,360,0,1,27,106,226,11650,,,,,,,,,,,
2019,종로구,3-6,340,0,1,30,115,194,11483,,,,,,,,,,,
2019,종로구,6-9,251,0,0,18,106,127,16284,,,,,,,,,,,
2019,종로구,9-12,358,0,1,16,174,167,24360,,,,,,,,,,,
2019,종로구,12-15,411,0,1,17,220,173,27304,,,,,,,,,,,
2019,종로구,15-18,462,0,1,21,231,209,25870,,,,,,,,,,,
2019,종로구,18-21,536,1,1,27,221,286,19734,,,,,,,,,,,
2019,종로구,21-24,626,1,1,38,167,419,13893,,,,,,,,,,,
2019,종로구,미상,500,1,1,44,175,279,18822,,,,,,,,,,,
2019,중구,0-3,386,0,1,22,154,209,10770,,,,,,,,,,,
2019,중구,3-6,372,0,1,25,167,179,10415,,,,,,,,,,,
2019,중구,6-9,286,0,0,15,154,117,17494,,,,,,,,,,,
2019,중구,9-12,420,0,0,13,253,154,29215,,,,,,,,,,,
2019,중구,12-15,495,0,1,14,320,160,32193,,,,,,,,,,,
2019,중구,15-18,547,0,1,17,336,193,30079,,,,,,,,,,,
2019,중구,18-21,608,0,1,22,321,264,20036,,,,,,,,,,,
2019,중구,21-24,661,0,1,31,242,387,13376,,,,,,,,,,,
2019,중구,미상,549,0,1,36,254,258,20447,,,,,,,,,,,
2019,용산구,0-3,321,0,0,30,70,221,15719,,,,,,,,,,,
2019,용산구,3-6,300,0,0,34,76,190,15484,,,,,,,,,,,
2019,용산구,6-9,215,0,0,21,70,124,17345,,,,,,,,,,,
2019,용산구,9-12,296,0,0,18,115,163,19133,,,,,,,,,,,
2019,용산구,12-15,334,0,0,20,145,169,19789,,,,,,,,,,,
2019,용산구,15-18,382,0,0,24,153,205,19858,,,,,,,,,,,
2019,용산구,18-21,456,0,0,31,145,280,18401,,,,,,,,,,,
2019,용산구,21-24,564,1,0,43,110,410,16675,,,,,,,,,,,
2019,용산구,미상,438,0,0,50,115,273,17801,,,,,,,,,,,
2019,성동구,0-3,235,0,1,15,68,151,19439,,,,,,,,,,,
2019,성동구,3-6,223,1,1,17,74,130,19465,,,,,,,,,,,
2019,성동구,6-9,163,0,0,10,68,85,20792,,,,,,,,,,,
2019,성동구,9-12,235,1,1,9,112,112,21512,,,,,,,,,,,
2019,성동구,12-15,269,1,1,10,141,116,21377,,,,,,,,,,,
2019,성동구,15-18,302,1,1,12,148,140,21541,,,,,,,,,,,
2019,성동구,18-21,350,1,1,15,141,192,20476,,,,,,,,,,,
2019,성동구,21-24,411,1,1,21,107,281,19828,,,,,,,,,,,
2019,성동구,미상,326,1,1,25,112,187,20554,,,,,,,,,,,
2019,광진구,0-3,363,0,1,30,131,201,24273,,,,,,,,,,,
2019,광진구,3-6,350,0,1,34,142,173,24066,,,,,,,,,,,
2019,광진구,6-9,265,0,0,21,131,113,23147,,,,,,,,,,,
2019,광진구,9-12,383,0,0,18,216,149,21191,,,,,,,,,,,
2019,광진구,12-15,447,0,1,20,272,154,21193,,,,,,,,,,,
2019,광진구,15-18,497,0,1,24,286,186,21855,,,,,,,,,,,
