"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"죄종별(1)",죄종별(2),계,00:00~02:59,03:00~05:59,06:00~08:59,09:00~11:59,12:00~14:59,15:00~17:59,18:00~20:59,21:00~23:59,미상
"계",소계,1611906,94095,86471,88488,183235,169090,172107,175503,204508,438409
"강력범죄",소계,26476,2920,3316,1977,1799,1966,2447,3089,4215,4747
"강력범죄",살인기수,297,15,21,20,28,38,33,43,49,50
"강력범죄",살인미수등,482,33,50,29,44,46,60,66,82,72
"강력범죄",강도,798,105,131,44,59,68,72,81,107,131
"강력범죄",강간,5310,630,885,417,293,325,311,425,719,1305
"강력범죄",유사강간,782,102,110,57,62,60,55,66,89,181
"강력범죄",강제추행,17120,1855,1921,1293,1163,1300,1706,2189,2901,2792
"강력범죄",기타 강간·강제추행등,325,36,47,12,26,20,37,30,40,77
"강력범죄",방화,1362,144,151,105,124,109,173,189,228,139
"절도범죄",소계,186957,13088,14167,13094,21501,27167,28553,27229,20568,21590
"폭력범죄",소계,287913,31290,26880,17572,23112,23919,28939,39618,57944,38639
"폭력범죄",상해,36858,4166,3408,2247,2967,3025,3684,4585,7433,5343
"폭력범죄",폭행,157197,19226,16377,9345,11591,12509,14791,20704,34120,18534
"폭력범죄",체포·감금,1243,96,106,76,122,147,146,135,185,230
"폭력범죄",협박,21022,1316,1036,1339,2288,2251,2687,3304,3437,3364
"폭력범죄",약취·유인,250,10,12,17,29,41,48,32,13,48
"폭력범죄",폭력행위등,8350,1234,1263,460,450,508,704,936,1427,1368
"폭력범죄",공갈,4847,135,122,74,388,455,590,599,507,1977
"폭력범죄",손괴,58146,5107,4556,4014,5277,4983,6289,9323,10822,7775
"지능범죄",소계,381533,8393,6637,5971,49269,38231,28941,20981,19100,204010
"지능범죄",직무유기,590,2,3,8,123,33,21,9,5,386
"지능범죄",직권남용,674,8,11,12,135,48,40,26,15,379
"지능범죄",증수뢰,260,-,-,2,25,11,6,8,4,204
"지능범죄",통화,980,9,9,27,183,115,95,41,22,479
"지능범죄",문서·인장,11343,174,134,63,1688,747,464,275,290,7508
"지능범죄",유가증권인지,140,-,1,2,27,9,15,7,2,77
"지능범죄",사기,304472,5443,3949,3056,39184,30405,21648,13930,12387,174470
"지능범죄",횡령,58508,2754,2526,2780,6781,6586,6584,6646,6367,17484
"지능범죄",배임,4566,3,4,21,1123,277,68,39,8,3023
"풍속범죄",소계,21153,920,709,887,1582,1713,2577,2543,2750,7472
"풍속범죄",성풍속범죄,13145,736,597,773,1126,1225,1724,1675,1931,3358
"풍속범죄",도박범죄,8008,184,112,114,456,488,853,868,819,4114
"특별경제범죄",소계,51400,1688,1426,1333,6702,5340,4802,3768,4320,22021
"마약범죄",소계,8038,244,214,151,635,773,890,776,674,3681
"보건범죄",소계,12570,596,404,140,880,694,1009,893,1747,6207
"환경범죄",소계,3877,42,53,117,458,290,190,90,126,2511
"교통범죄",소계,377354,24513,23438,37189,44265,45675,53506,58164,70537,20067
"노동범죄",소계,975,20,41,80,124,125,117,53,78,337
"안보범죄",소계,169,2,-,-,10,18,10,3,6,120
"선거범죄",소계,611,-,1,22,121,53,34,38,3,339
"병역범죄",소계,12712,3,1,20,1440,285,55,58,19,10831
"기타범죄",소계,240168,10376,9184,9935,31337,22841,20037,18200,22421,95837
