Date-Time,Temperature,Rainfall,Wind Speed,Humadity,Sunshine,Snowfall,Cloud
2014-01-01 0:00,3.3,,3.8,65,,,6
2014-01-01 1:00,2.6,,2.3,66,,,
2014-01-01 2:00,1.7,,1.7,67,,,
2014-01-01 3:00,1.4,,1.4,60,,,0
2014-01-01 4:00,0.9,,2.8,59,,,0
2014-01-01 5:00,0.6,,2,56,,,0
2014-01-01 6:00,0.7,,2.3,53,,,0
2014-01-01 7:00,0.7,,1.7,55,,,0
2014-01-01 8:00,0.5,,1.6,55,0,,0
2014-01-01 9:00,1.8,,2.3,54,0,,3
2014-01-01 10:00,3.6,,2.9,55,0.6,,6
2014-01-01 11:00,5.4,,5.3,55,0.7,,6
2014-01-01 12:00,7,0,5.3,44,1,,6
2014-01-01 13:00,6.7,,7.2,51,0.9,,6
2014-01-01 14:00,7.1,,5.5,45,0.7,,3
2014-01-01 15:00,7.6,,5.2,29,1,,6
2014-01-01 16:00,7.6,,5.9,33,1,,0
2014-01-01 17:00,6.6,,5.5,53,0.5,,0
2014-01-01 18:00,6.1,,4.5,59,0,,2
2014-01-01 19:00,5.9,,3.5,66,,,
2014-01-01 20:00,5.6,,5.3,61,,,
2014-01-01 21:00,4.9,,3.5,67,,,0
2014-01-01 22:00,4.3,,3.8,61,,,
2014-01-01 23:00,3.6,,3.9,50,,,
2014-01-02 0:00,2.8,,3.5,44,,,0
2014-01-02 1:00,2,,1.8,46,,,
2014-01-02 2:00,1,,0.8,46,,,
2014-01-02 3:00,0.3,,0.7,50,,,0
2014-01-02 4:00,0.1,,3,50,,,0
2014-01-02 5:00,-0.5,,1.8,46,,,0
2014-01-02 6:00,-0.8,,2,50,,,0
2014-01-02 7:00,-1.1,,1.8,49,,,0
2014-01-02 8:00,-1.2,,1.9,48,0,,0
2014-01-02 9:00,-0.9,,0.8,36,0.9,,1
2014-01-02 10:00,0.8,,3.5,29,1,,0
2014-01-02 11:00,2.6,,3.1,23,1,,0
2014-01-02 12:00,3.7,,3,22,1,,0
2014-01-02 13:00,4.9,,3.4,20,1,,1
2014-01-02 14:00,5.5,,2.9,19,1,,0
2014-01-02 15:00,5.6,,2.8,18,1,,0
2014-01-02 16:00,6,,2,19,1,,0
2014-01-02 17:00,5,,1.8,21,1,,0
2014-01-02 18:00,3.3,,1.5,27,0.1,,0
2014-01-02 19:00,2.7,,1.9,28,,,
2014-01-02 20:00,1.5,,2,34,,,
2014-01-02 21:00,0.9,,0.9,34,,,1
2014-01-02 22:00,0.5,,1.2,39,,,
2014-01-02 23:00,0.3,,1,43,,,
2014-01-03 0:00,-0.1,,1.7,46,,,0
2014-01-03 1:00,-0.6,,1.4,44,,,
2014-01-03 2:00,-0.5,,1.6,50,,,
2014-01-03 3:00,-0.7,,1.7,49,,,4
2014-01-03 4:00,-0.8,,1.7,51,,,7
2014-01-03 5:00,-0.6,,2.3,50,,,6
2014-01-03 6:00,-1,,1.9,50,,,3
2014-01-03 7:00,-0.9,,1.7,50,,,7
2014-01-03 8:00,-0.7,,2.6,50,0,,7
2014-01-03 9:00,-0.1,,1.7,46,0,,7
2014-01-03 10:00,1.3,,1.1,40,0,,8
2014-01-03 11:00,3,,1.5,38,0.2,,8
2014-01-03 12:00,5,,1.8,36,0.5,,6
2014-01-03 13:00,6.8,,3.1,33,1,,6
2014-01-03 14:00,6.9,,4,39,0.7,,7
2014-01-03 15:00,6.6,,3.6,51,0.3,,8
2014-01-03 16:00,6.3,,2.5,56,0,,9
2014-01-03 17:00,6,,2.6,64,0,,9
2014-01-03 18:00,5.5,,3.4,70,0,,8
2014-01-03 19:00,4.7,,3.1,72,,,
2014-01-03 20:00,3.8,,3.3,72,,,
2014-01-03 21:00,2.5,,4.8,67,,,0
2014-01-03 22:00,1.5,,3.6,69,,,
2014-01-03 23:00,1.1,,3.5,71,,,
2014-01-04 0:00,0.6,,4.2,66,,,1
2014-01-04 1:00,-0.2,,3.5,70,,,
2014-01-04 2:00,-0.9,,3,69,,,
2014-01-04 3:00,-1.5,,3.1,65,,,0
2014-01-04 4:00,-2.1,,1,49,,,0
2014-01-04 5:00,-2.1,,2.3,46,,,0
2014-01-04 6:00,-2.8,,2.1,50,,,0
