대지위치,Latitude,Longitude,세대,Grid
서울특별시 중구 광희동1가 160,37.564993,127.0059895,1,730
서울특별시 중구 남대문로1가 113-1,37.5674283,126.9832194,1,289
서울특별시 중구 남대문로2가 123,37.5634661,126.9815063,1,256
서울특별시 중구 남대문로2가 130,37.564152,126.981643,1,274
서울특별시 중구 남대문로2가 9-9,37.563724,126.9812175,1,255
서울특별시 중구 남대문로3가 13-3,37.5609741,126.9778922,1,202
서울특별시 중구 남대문로3가 19,37.5610917,126.9791923,1,220
서울특별시 중구 남대문로3가 19,37.5610917,126.9791923,1,220
서울특별시 중구 남대문로3가 19,37.5610917,126.9791923,1,220
서울특별시 중구 남대문로3가 30-3,37.5606486,126.9781774,21,203
서울특별시 중구 남대문로4가 20-10,37.5600505,126.976224,3,184
서울특별시 중구 남대문로4가 20-14,37.560294,126.9764584,6,184
서울특별시 중구 남대문로4가 20-6,37.5603178,126.9764977,6,184
서울특별시 중구 남대문로4가 20-9,37.5601928,126.9763194,5,184
서울특별시 중구 남대문로4가 3-3,37.5605491,126.9775087,1,203
서울특별시 중구 남산동2가 15-12,37.5591155,126.9859639,1,335
서울특별시 중구 남창동 1-1,37.5607939,126.9790435,3,221
서울특별시 중구 남창동 31-3,37.5600848,126.97821,15,221
서울특별시 중구 남창동 32-12,37.559964,126.9775766,162,204
서울특별시 중구 남창동 32-36,37.5598792,126.9779785,1,204
서울특별시 중구 남창동 32-38,37.5599291,126.9779122,1,204
서울특별시 중구 남창동 32-68,37.5600533,126.9778991,3,203
서울특별시 중구 남창동 33-100,37.5595634,126.9775131,1,204
서울특별시 중구 남창동 33-101,37.559542,126.9775371,1,204
서울특별시 중구 남창동 33-102,37.5595426,126.9775088,1,204
서울특별시 중구 남창동 33-103,37.5595433,126.9774839,1,204
서울특별시 중구 남창동 33-107,37.5594761,126.9775279,1,204
서울특별시 중구 남창동 33-108,37.5594776,126.9774882,1,204
서울특별시 중구 남창동 33-12,37.5597247,126.9774135,1,204
서울특별시 중구 남창동 33-14,37.5595426,126.9774024,1,204
서울특별시 중구 남창동 33-16,37.5597439,126.97796,1,204
서울특별시 중구 남창동 33-26,37.5595215,126.9776664,1,204
서울특별시 중구 남창동 33-29,37.559594,126.9774051,4,204
서울특별시 중구 남창동 33-30,37.559631,126.977408,4,204
서울특별시 중구 남창동 33-31,37.5596427,126.977409,1,204
서울특별시 중구 남창동 33-36,37.5597197,126.977666,1,204
