Type,Date-Time,Latitude,Longitude,Grid
절도,2014-1-9 15:29:55,37.55329601,127.0150772,38
폭행,2014-5-18 3:14:30,37.54984084,127.0131231,62
절도,2014-1-10 4:41:47,37.56500297,127.0095778,106
폭행,2014-1-29 15:29:57,37.56542761,126.9955846,113
폭행,2014-6-30 3:17:36,37.5480877,127.0060541,89
폭행,2014-7-18 24:54:6,37.55213956,127.01438,44
절도,2014-1-12 6:50:54,37.55662444,127.0145087,11
폭행,2014-3-31 22:32:25,37.56335691,127.008694,8
폭행,2014-9-10 7:16:56,37.5546192,127.0175831,34
폭행,2014-10-31 20:16:1,37.56196588,127.0084192,1
절도,2014-12-8 19:33:59,37.56205101,127.0090682,2
절도,2014-9-13 15:12:35,37.56248047,127.0095754,2
절도,2014-2-23 18:42:20,37.54714741,127.0075332,77
절도,2014-1-3 24:45:51,37.54798487,127.0056296,89
폭행,2014-12-20 3:1:46,37.55692972,127.0144008,12
폭행,2014-3-31 5:1:46,37.54521713,127.007112,86
절도,2014-6-6 18:10:8,37.55962907,126.9796102,121
절도,2014-6-27 13:50:8,37.55229436,127.0106644,56
절도,2014-11-25 15:18:16,37.55342946,127.0173283,35
절도,2014-11-20 12:46:39,37.55554276,127.0165863,19
폭행,2014-9-21 24:7:0,37.55708691,127.0127389,10
절도,2014-7-29 10:50:40,37.55535453,127.015924,33
절도,2014-8-17 11:20:0,37.55601168,127.0112313,23
폭행,2014-3-19 14:36:34,37.54961939,127.0122572,62
폭행,2014-7-10 1:17:6,37.54800197,127.0080905,93
절도,2014-11-6 0:40:5,37.55565311,127.0145535,20
절도,2014-3-7 20:27:57,37.55661492,127.0188088,15
폭행,2014-8-23 9:10:45,37.55737482,126.9795922,118
폭행,2014-6-6 22:45:45,37.55739582,127.0171729,96
절도,2014-12-2 12:24:29,37.55520442,127.0123707,28
절도,2014-1-24 15:20:6,37.55322633,127.0132429,40
절도,2014-4-16 12:24:18,37.55703813,127.0175033,14
폭행,2014-2-18 23:51:1,37.54486794,127.0072948,86
폭행,2014-11-23 21:23:5,37.54553621,127.006087,87
폭행,2014-7-17 0:32:34,37.56211127,126.9864733,112
절도,2014-11-13 7:41:35,37.54650016,127.0090386,72
절도,2014-1-28 9:30:4,37.5554314,127.0130016,22
절도,2014-11-20 21:34:39,37.54598786,127.0047093,76
절도,2014-3-22 18:51:10,37.55150863,127.0114801,42
절도,2014-6-29 5:28:19,37.54899955,127.0066828,91
절도,2014-1-30 21:26:7,37.55554492,127.0151258,20
폭행,2014-6-10 19:17:11,37.55286251,127.0165241,37
절도,2014-4-27 0:2:36,37.56572002,126.9954496,113
폭행,2014-2-8 3:56:33,37.54564544,127.0060127,74
절도,2014-6-12 15:23:4,37.54687313,127.0049637,75
절도,2014-6-5 24:28:24,37.56123889,127.0091261,3
폭행,2014-9-1 22:11:45,37.54968967,127.0121012,61
절도,2014-2-10 22:50:19,37.54911656,127.0113899,65
폭행,2014-5-24 12:28:32,37.54836346,127.007928,92
폭행,2014-4-4 12:38:0,37.549071,127.0086967,92
절도,2014-11-25 12:0:9,37.54781151,127.0083139,93
절도,2014-7-12 16:45:37,37.55381181,127.0122911,26
폭행,2014-1-9 21:29:4,37.54624583,127.0075888,79
폭행,2014-10-12 3:14:47,37.55713339,127.0125312,10
폭행,2014-1-23 17:1:36,37.55249474,127.0102582,56
