Type,Date-Time,Latitude,Longitude,Grid
폭행,2016-9-15 19:38:14,37.55960515,126.9976752,571
폭행,2016-8-16 3:3:31,37.56767646,126.9740881,138
폭행,2016-12-10 21:28:28,37.54976207,126.9968732,558
폭행,2016-1-30 11:21:21,37.5620227,127.0110499,873
폭행,2016-8-17 11:55:33,37.55423848,126.9628324,12
절도,2016-12-1 15:38:3,37.56350263,127.0204368,1040
폭행,2016-12-12 12:10:3,37.55291119,127.0051984,717
절도,2016-4-11 10:54:1,37.56705651,126.972965,121
절도,2016-10-25 4:35:39,37.56524763,127.0060717,730
폭행,2016-10-29 12:23:58,37.56717088,127.0160811,960
폭행,2016-12-31 3:58:37,37.56362013,126.9969455,542
폭행,2016-9-7 18:49:37,37.55234305,127.0153309,956
폭행,2016-11-30 20:47:38,37.5639217,127.0152307,943
폭행,2016-1-14 3:0:23,37.55477128,126.9751598,171
폭행,2016-2-19 22:59:24,37.55233628,127.0111807,884
절도,2016-6-8 24:35:46,37.56581726,127.0192192,1021
절도,2016-8-14 22:42:14,37.56477238,126.9716504,106
폭행,2016-5-16 21:22:0,37.55396794,126.9729261,135
절도,2016-11-18 16:25:10,37.55594287,127.0087835,827
절도,2016-1-27 3:4:41,37.55555709,126.9959841,526
절도,2016-2-1 11:43:40,37.568132,126.988506,381
폭행,2016-11-14 2:44:28,37.55739415,126.9853052,336
폭행,2016-3-24 0:24:7,37.56566332,126.9834845,291
절도,2016-4-22 11:25:25,37.55475908,126.9972106,552
절도,2016-2-9 12:55:13,37.5642096,127.0155049,943
폭행,2016-9-5 18:54:57,37.55380189,127.0142876,931
폭행,2016-8-21 22:17:19,37.56891155,126.9789072,211
절도,2016-5-21 6:17:20,37.56224118,126.9809539,257
절도,2016-10-19 7:33:9,37.55710157,126.9664187,39
폭행,2016-4-19 2:32:46,37.55480059,126.9770982,209
폭행,2016-11-6 0:51:8,37.56829987,127.0062224,726
폭행,2016-8-12 2:18:58,37.55857057,127.0155413,949
폭행,2016-10-23 10:50:21,37.56193295,126.9916423,428
폭행,2016-11-12 23:6:14,37.55541595,126.9924095,456
강간,2016-11-10 1:15:3,37.56050043,126.9786767,221
절도,2016-3-21 13:45:7,37.55741218,127.0024721,666
폭행,2016-1-4 21:11:9,37.56564808,127.0062467,729
절도,2016-6-13 22:42:48,37.5625351,127.0130087,898
폭행,2016-6-2 6:24:45,37.55652119,126.9801339,244
절도,2016-12-23 13:25:16,37.54889058,126.9952361,534
절도,2016-7-29 12:3:54,37.55736069,127.0223151,1064
