a,b,c,latitude,longitude,f,Grid
서울청,서울종로경찰서,세종로파출소,37.5689804,126.9763591,중구 태평로 1가 68,174
서울청,서울중부경찰서,광희지구대,37.5652525,127.0134056,중구 신당동 250-10,919
서울청,서울중부경찰서,서울중부경찰서,37.5635144,126.9896139,중구 저동2가 62-1,406
서울청,서울중부경찰서,신당파출소,37.5650526,127.0163928,중구 신당5동 100-1,963
서울청,서울중부경찰서,약수지구대,37.552175,127.012375,중구 신당3동 844-3,909
서울청,서울중부경찰서,을지로3가파출소,37.5661306,126.9928763,중구 을3가 291-50,467
서울청,서울중부경찰서,을지지구대,37.5665337,127.0038758,중구 을지5가 72-2,679
서울청,서울중부경찰서,장충파출소,37.55877,127.0047941,중구 장충2가 196-2,711
서울청,서울중부경찰서,충무파출소,37.5608047,126.9915414,중구 필동1가 20-5,429
서울청,서울남대문경찰서,남대문파출소,37.559012,126.9764128,중구 남창동 51-1,185
서울청,서울남대문경찰서,명동파출소,37.5636434,126.9839591,중구 명동2가 50-13,311
서울청,서울남대문경찰서,서소문파출소,37.5638243,126.9754723,중구 서소문동 24,161
서울청,서울남대문경찰서,서울남대문경찰서,37.5547667,126.9734875,중구 남대문로5가 561,152
서울청,서울남대문경찰서,서울역파출소,37.5569113,126.9716474,중구 봉래동 2가 122,115
서울청,서울남대문경찰서,중림파출소,37.5578854,126.967116,중구 중림동 203,50
서울청,서울남대문경찰서,태평로파출소,37.5679932,126.9799962,중구 다동 48,231
