번호,주용도,설치대수,Latitude,Longitude,Grid
공002,공원 방범,1,37.5556652,126.9645497,30
공006,공원 방범,1,37.560174,126.9720786,111
공007,공원 방범,1,37.560174,126.9720786,111
공011,공원 방범,2,37.566855,126.9708266,88
공012,공원 방범,2,37.566855,126.9708266,88
공013,공원 방범,2,37.5642792,126.9684725,59
공014,공원 방범,2,37.5677753,126.9841779,307
공015,공원 방범,2,37.5681359,126.9807488,250
공016,공원 방범,2,37.5681359,126.9807488,250
공017,공원 방범,2,37.5644117,127.0050125,704
공018,공원 방범,2,37.5636449,126.9997887,613
공019,공원 방범,2,37.5636449,126.9997887,613
공020,공원 방범,2,37.5644696,126.9731549,123
공021,공원 방범,4,37.55207509,127.0051892,718
공023,공원 방범,3,37.5509857,127.0054932,745
공024,공원 방범,2,37.5557874,127.0135488,929
공025,공원 방범,2,37.5557874,127.0135488,929
공026,공원 방범,2,37.56220917,127.0245224,1093
공029,공원 방범,2,37.563844,127.018354,1005
공030,공원 방범,2,37.563844,127.018354,1005
공031,공원 방범,2,37.5631015,127.0142425,921
공032,공원 방범,2,37.55281057,127.0126503,908
공033,공원 방범,2,37.55715667,127.0157254,972
공035,공원 방범,2,37.5576541,126.9954649,524
공036,공원 방범,2,37.55205807,127.0052428,718
공037,공원 방범,2,37.5543353,127.0085361,800
공038,공원 방범,2,37.5581081,126.963027,7
공039,공원 방범,2,37.5581633,127.0179679,1011
공040,공원 방범,3,37.5608639,127.0204825,1043
공041,공원 방범,3,37.56088206,127.0184412,1008
공044,공원 방범,5,37.5674949,127.0181238,1001
공045,공원 방범,3,37.5674949,127.0181238,1001
공046,공원 방범,3,37.5598732,127.0139319,925
공048,공원 방범,2,37.5605762,127.0131982,900
공049,공원 방범,3,37.563826,126.9712644,107
공050,공원 방범,3,37.563826,126.9712644,107
공051,공원 방범,2,37.5576541,126.9954649,524
공052,공원 방범,3,37.5650049,126.9882022,365
공053,공원 방범,4,37.5647485,126.9871926,365
공054,공원 방범,4,37.5647485,126.9871926,365
공055,공원 방범,4,37.5647485,126.9871926,365
공056,공원 방범,4,37.5647485,126.9871926,365
공057,공원 방범,4,37.5680898,126.9802095,231
공058,공원 방범,3,37.5527787,126.9630572,13
공059,공원 방범,3,37.5527787,126.9630572,13
공060,공원 방범,1,37.55918118,127.0206364,1045
공063,공원 방범,2,37.5606422,126.9690479,79
공064,공원 방범,1,37.5606422,126.9690479,79
공065,공원 방범,2,37.5606422,126.9690479,79
공066,공원 방범,2,37.5606422,126.9690479,79
공067,공원 방범,2,37.5606422,126.9690479,79
공068,공원 방범,2,37.5606422,126.9690479,79
공069,공원 방범,1,37.5606422,126.9690479,79
공070,공원 방범,2,37.5606422,126.9690479,79
공071,공원 방범,2,37.5606422,126.9690479,79
공072,공원 방범,2,37.5628448,126.9754161,162
공073,공원 방범,3,37.56223468,127.0245332,1093
공075,공원 방범,2,37.5673064,126.9867527,343
공076,공원 방범,2,37.5556652,126.9645497,30
공077,공원 방범,2,37.5556652,126.9645497,30
공078,공원 방범,2,37.5556652,126.9645497,30
공079,공원 방범,2,37.5556652,126.9645497,30
공080,공원 방범,2,37.5556652,126.9645497,30
공081,공원 방범,2,37.5556652,126.9645497,30
공082,공원 방범,2,37.5556652,126.9645497,30
공083,공원 방범,2,37.5556652,126.9645497,30
공084,공원 방범,2,37.5556652,126.9645497,30
공090,공원 방범,3,37.5672983,127.0037006,678
공091,공원 방범,3,37.5672983,127.0037006,678
공092,공원 방범,3,37.5672983,127.0037006,678
공093,공원 방범,3,37.5652959,126.9895634,404
남101,일반 방범,4,37.5617465,126.9776044,201
남102,일반 방범,4,37.5664021,126.9818843,271
남103,일반 방범,4,37.5641496,126.9785416,217
남104,일반 방범,4,37.5681784,126.9816006,269
남105,일반 방범,2,37.5630763,126.9765618,181
남106,일반 방범,4,37.5666249,126.9802317,233
남107,일반 방범,4,37.568715,126.9795727,231
남108,일반 방범,1,37.5629351,126.9775213,200
남109,일반 방범,2,37.5678062,126.9808586,251
남110,일반 방범,4,37.5664489,126.9794633,233
남111,일반 방범,3,37.5684158,126.9788458,212
남112,일반 방범,4,37.564152,126.981643,274
남113,일반 방범,3,37.5620577,126.9805633,257
남114,일반 방범,3,37.5669154,126.9819427,271
남115,일반 방범,5,37.561767,126.9782062,219
남201,일반 방범,2,37.5574069,126.9694999,82
남202,일반 방범,3,37.5562032,126.9749646,170
남203,일반 방범,3,37.5576858,126.9738999,149
남204,일반 방범,3,37.5574069,126.9694999,82
남205,일반 방범,2,37.5564965,126.9710206,99
남206,일반 방범,3,37.558929,126.9753237,167
남207,일반 방범,4,37.5593645,126.9719381,112
남208,일반 방범,5,37.558252,126.9740382,148
남209,일반 방범,4,37.5539452,126.9756206,172
남210,일반 방범,3,37.5583822,126.9723285,113
남211,일반 방범,1,37.5554652,126.9737482,151
남212,일반 방범,1,37.5554652,126.9737482,151
남213,일반 방범,1,37.5554652,126.9737482,151
남214,일반 방범,1,37.5554652,126.9737482,151
남215,일반 방범,1,37.5554652,126.9737482,151
남301,일반 방범,3,37.5624638,126.9851318,331
남302,일반 방범,2,37.5614189,126.9856893,332
남303,일반 방범,4,37.5609432,126.9825464,277
남304,일반 방범,4,37.5635138,126.9833835,293
남305,일반 방범,3,37.5584741,126.9856636,335
남306,일반 방범,3,37.5611017,126.9838034,314
남307,일반 방범,4,37.5650297,126.9841598,310
남308,일반 방범,2,37.5632533,126.9868325,348
남309,일반 방범,4,37.5642948,126.9879413,366
남310,일반 방범,5,37.5585738,126.9844727,317
남311,일반 방범,3,37.5603159,126.9857687,333
남312,일반 방범,3,37.5578736,126.9841528,318
남313,일반 방범,3,37.5576648,126.986168,354
남314,일반 방범,1,37.5600487,126.9867684,351
남315,일반 방범,3,37.5581643,126.9835852,299
남316,일반 방범,3,37.5578984,126.9843143,318
남317,일반 방범,2,37.5645851,126.9845337,310
남318,일반 방범,3,37.5593378,126.9859348,334
남319,일반 방범,3,37.5598153,126.9847829,316
남320,일반 방범,2,37.5636108,126.9847122,311
남321,일반 방범,3,37.5648385,126.9865507,346
남322,일반 방범,2,37.5572536,126.9837209,300
남323,일반 방범,2,37.5599557,126.9841336,315
남324,일반 방범,1,37.5594319,126.986401,352
남324,일반 방범,1,37.5594659,126.986401,352
남325,일반 방범,2,37.5576277,126.985735,336
남326,일반 방범,3,37.5583311,126.9831879,299
남327,일반 방범,4,37.5589757,126.9858435,335
남401,일반 방범,3,37.5605355,126.9771642,203
남402,일반 방범,3,37.5609432,126.9825464,277
남403,일반 방범,2,37.5607381,126.9784161,221
남404,일반 방범,3,37.5608932,126.9787524,220
남405,일반 방범,3,37.5606855,126.9785945,221
남406,일반 방범,4,37.5582887,126.9807743,261
남407,일반 방범,3,37.5602913,126.978438,221
남408,일반 방범,4,37.5583507,126.9763276,186
남409,일반 방범,3,37.5603299,126.9795682,240
남410,일반 방범,3,37.5609432,126.9825464,277
남411,일반 방범,4,37.5588018,126.9773843,205
남412,일반 방범,3,37.5591536,126.9762838,185
남413,일반 방범,3,37.5593159,126.9786958,222
남414,일반 방범,3,37.5586469,126.9780809,223
남501,일반 방범,1,37.5599546,126.9661496,35
남502,일반 방범,1,37.5572754,126.9638449,18
남503,일반 방범,1,37.5581609,126.9641258,17
남504,일반 방범,3,37.5556652,126.9645497,30
남505,일반 방범,1,37.5576277,126.9670317,50
남506,일반 방범,1,37.5527787,126.9630572,13
남507,일반 방범,2,37.5561784,126.9637888,20
남508,일반 방범,3,37.5566787,126.9651502,29
남509,일반 방범,1,37.5570331,126.9668351,51
남510,일반 방범,4,37.5564707,126.9676396,51
남511,일반 방범,1,37.5576237,126.9660516,38
남512,일반 방범,1,37.5588793,126.9687903,65
남513,일반 방범,4,37.5573124,126.9686851,66
남514,일반 방범,4,37.5580081,126.9633435,18
남514가,일반 방범,2,37.5584815,126.963308,17
남515,일반 방범,1,37.558233,126.9627892,7
남516,일반 방범,1,37.557181,126.9657126,39
남516가,일반 방범,3,37.5567435,126.9655556,39
남517,일반 방범,4,37.5583548,126.9687772,65
남518,일반 방범,4,37.555601,126.9677184,52
남519,일반 방범,4,37.558915,126.9639161,17
남520,일반 방범,3,37.557484,126.9633836,18
남520가,일반 방범,2,37.5576546,126.9631051,8
남521,일반 방범,4,37.5537838,126.9649571,32
남522,일반 방범,1,37.5523158,126.9623755,14
남523,일반 방범,2,37.5595241,126.9672059,48
남524,일반 방범,1,37.559064,126.9649712,26
남525,일반 방범,4,37.5572754,126.9638449,18
남526,일반 방범,4,37.5607773,126.9682129,63
남527,어린이보호,2,37.5583265,126.9674929,49
남601,일반 방범,3,37.5563881,126.9803181,263
남602,일반 방범,3,37.5568216,126.9787684,225
남602가,일반 방범,2,37.5563625,126.9783004,225
남603,일반 방범,1,37.5567837,126.9812611,263
남603가,일반 방범,1,37.5567837,126.9812611,263
남604,일반 방범,2,37.5589596,126.9801042,242
남605,일반 방범,3,37.5576379,126.9826269,300
남606,일반 방범,3,37.5589139,126.9777347,205
남607,일반 방범,3,37.5560103,126.9812332,264
남608,일반 방범,4,37.5574474,126.97956,243
남608나,일반 방범,1,37.5576529,126.9804015,262
남609,일반 방범,3,37.5575233,126.9773972,206
남610,일반 방범,3,37.5544848,126.9812256,266
남611,일반 방범,2,37.5558403,126.98106,264
남612,일반 방범,4,37.5575024,126.9820583,281
남613,일반 방범,3,37.5562951,126.9776992,208
남614,어린이보호,3,37.5568216,126.9787684,225
남701,일반 방범,3,37.5629599,126.9728983,125
남702,일반 방범,2,37.5675574,126.9722228,103
남703,일반 방범,3,37.566855,126.9708266,88
남704,일반 방범,3,37.5644115,126.9688748,58
남705,일반 방범,1,37.5623429,126.9744756,144
남706,일반 방범,1,37.5635558,126.9692092,75
남707,일반 방범,3,37.5685606,126.9744424,137
남708,일반 방범,3,37.5664694,126.9695822,72
남709,일반 방범,3,37.5618573,126.9728308,126
남710,일반 방범,4,37.5623539,126.9703633,93
남D38,어린이보호,4,37.5599652,126.9879648,370
남D39,일반 방범,3,37.5570868,126.985173,337
남D40,일반 방범,3,37.5584543,126.9866202,353
남D42,일반 방범,3,37.5569756,126.9841888,319
남D42가,일반 방범,2,37.5571318,126.9843372,319
남D43,일반 방범,1,37.5577327,126.9867296,354
남D44,일반 방범,2,37.5571543,126.9839158,319
남D45,일반 방범,3,37.5637972,126.9716128,107
남E18,일반 방범,3,37.5679725,126.9799824,231
